main_category,subcategory,sub_subcategory,author_name,date,volume,page
works,otherSeparateWorks,troilus,James,1635,I,212-213
works,otherSeparateWorks,troilus,Johnston,1635,I,213
works,otherSeparateWorks,troilus,Kynaston,1635,I,213-214
works,otherSeparateWorks,troilus,Lloyd,1635,I,214
works,otherSeparateWorks,troilus,Read,1635,I,214-215
works,otherSeparateWorks,troilus,Strode,1635,I,215
works,otherSeparateWorks,troilus,Unknown,1825,II,159
works,otherSeparateWorks,troilus,Sewell,1720,I,350-352
works,otherSeparateWorks,troilus,Wordsworth,1801,II,3
works,otherSeparateWorks,troilus,Horne,1841,II,234-238
works,otherSeparateWorks,troilus,Henryson,1475,I,56
works,otherSeparateWorks,troilus,Lydgate,1412-20,IV,3-4
works,otherSeparateWorks,troilus,Douglas,1501,IV,9
works,otherSeparateWorks,troilus,Skelton,[c. 1507],IV,9-10
works,otherSeparateWorks,troilus,Leland,[c. 1545],IV,13-19
works,otherSeparateWorks,troilus,Howard,[n.a. 1547],IV,19
works,otherSeparateWorks,troilus,Bale,1548,IV,19-21
works,otherSeparateWorks,troilus,Unknown,1557,IV,21
works,otherSeparateWorks,troilus,Bale,1557,IV,21-27
works,otherSeparateWorks,troilus,Elderton,1559,IV,27-28
works,otherSeparateWorks,troilus,Brooke,1562,IV,29-33
works,otherSeparateWorks,troilus,Unknown,[1566],IV,34
works,otherSeparateWorks,troilus,Tuberville,[c. 1567],IV,35
works,otherSeparateWorks,troilus,Fulwood,1568,IV,35-36
works,otherSeparateWorks,troilus,Stewart,1568,IV,36
works,otherSeparateWorks,troilus,Unknown,1568,IV,36-37
works,otherSeparateWorks,troilus,Tuberville,[1569],IV,37
works,otherSeparateWorks,troilus,Gascoigne,[n.a. 1572],IV,38
works,otherSeparateWorks,troilus,Gascoigne,[1575],IV,39
works,otherSeparateWorks,troilus,L.,1576,IV,39-40
works,otherSeparateWorks,troilus,Unknown,1576,IV,40
works,otherSeparateWorks,troilus,Whetstone,1576,IV,40
works,otherSeparateWorks,troilus,[Procter],1578,IV,42
works,otherSeparateWorks,troilus,A Student in Cambridge,1579,IV,42-43
works,otherSeparateWorks,troilus,Unknown,1580,IV,43
works,otherSeparateWorks,troilus,Unknown,[c. 1582],IV,43
works,otherSeparateWorks,troilus,Tomson,1584,IV,44
works,otherSeparateWorks,troilus,Unknown,1584,IV,44
